127.0.0.1 - - [18/Sep/2015:11:33:42 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:47 -0300] "GET /LojaVirtual/Login.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:48 -0300] "GET /LojaVirtual/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:48 -0300] "GET /LojaVirtual/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:48 -0300] "GET /LojaVirtual/imagens/imgPrincipal.png HTTP/1.1" 200 118137
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:48 -0300] "GET /LojaVirtual/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:33:49 -0300] "GET /LojaVirtual/js/Login.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/Login.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/imagens/imgPrincipal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /LojaVirtual/js/Login.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [18/Sep/2015:11:39:16 -0300] "GET /favicon.ico HTTP/1.1" 404 973
